1;Ворсма;Нижегородская область;Приволжский;11622;16 век
2;Выкса;Нижегородская область;Приволжский;56196;1757
3;Горбатов;Нижегородская область;Приволжский;2278;16 век
4;Городец;Нижегородская область;Приволжский;30699;12 век
5;Дзержинск;Нижегородская область;Приволжский;240762;1606
6;Заволжье;Нижегородская область;Приволжский;40265;1950
7;Княгинино;Нижегородская область;Приволжский;6708;1569
8;Кстово;Нижегородская область;Приволжский;66641;15 век
9;Кулебаки;Нижегородская область;Приволжский;35762;1677-1678
10;Лукоянов;Нижегородская область;Приволжский;14949;16 век
11;Лысково;Нижегородская область;Приволжский;21882;1410
12;Пыталово;Псковская область;Северо-Западный;5826;1782
13;Себеж;Псковская область;Северо-Западный;6375;1414
14;Азов;Ростовская область;Южный;82882;1067
15;Аксай;Ростовская область;Южный;41984;1957
16;Батайск;Ростовская область;Южный;112400;1938
17;Белая Калитва;Ростовская область;Южный;43688;1703
18;Волгодонск;Ростовская область;Южный;170621;1950
19;Гуково;Ростовская область;Южный;67268;1878
20;Донецк;Ростовская область;Южный;50085;1681
21;Сасово;Рязанская область;Центральный;28117;1642
22;Буинск;Татарстан;Приволжский;20342;1691
23;Елабуга;Татарстан;Приволжский;70750;11 век
24;Заинск;Татарстан;Приволжский;41798;1656
25;Зеленодольск;Татарстан;Приволжский;97651;1865
26;Казань;Татарстан;Приволжский;1143546;1005
27;Лаишево;Татарстан;Приволжский;7735;1557
28;Лениногорск;Татарстан;Приволжский;64145;1795
29;Мамадыш;Татарстан;Приволжский;14432;1391
30;Менделеевск;Татарстан;Приволжский;22075;1868
31;Мензелинск;Татарстан;Приволжский;16474;1586
32;Набережные Челны;Татарстан;Приволжский;513242;1626
33;Нижнекамск;Татарстан;Приволжский;234108;1961
34;Нурлат;Татарстан;Приволжский;32600;1905
35;Тетюши;Татарстан;Приволжский;11596;1578
36;Чистополь;Татарстан;Приволжский;60703;18 век
37;Андреаполь;Тверская область;Центральный;8265;1907
38;Бежецк;Тверская область;Центральный;24517;1137
39;Белый;Тверская область;Центральный;3771;1350
40;Бологое;Тверская область;Центральный;23499;1495
41;Весьегонск;Тверская область;Центральный;7330;1564
42;Вышний Волочёк;Тверская область;Центральный;52326;1471
43;Западная Двина;Тверская область;Центральный;9376;1900
44;Зубцов;Тверская область;Центральный;6937;1216
45;Калязин;Тверская область;Центральный;13870;1434
46;Кашин;Тверская область;Центральный;16174;1238
47;Кимры;Тверская область;Центральный;49623;1546
48;Конаково;Тверская область;Центральный;41303;1806
49;Красный Холм;Тверская область;Центральный;5608;1518
50;Кувшиново;Тверская область;Центральный;10008;1910
51;Лихославль;Тверская область;Центральный;12259;1624
52;Новомосковск;Тульская область;Центральный;131227;1930
53;Плавск;Тульская область;Центральный;16248;1563
54;Суворов;Тульская область;Центральный;18975;1949
55;Тула;Тульская область;Центральный;501129;1146
56;Узловая;Тульская область;Центральный;55282;1873
57;Чекалин;Тульская область;Центральный;994;1565
58;Щёкино;Тульская область;Центральный;58154;1870
59;Ясногорск;Тульская область;Центральный;16804;1578
60;Советск;Тульская область;Центральный;7537;1949
61;Ак-Довурак;Тыва;Сибирский;13469;1964
62;Кызыл;Тыва;Сибирский;109906;1914
63;Туран;Тыва;Сибирский;4988;1885
64;Урус-Мартан;Чечня;Северо-Кавказский;49071;18 век
65;Шали;Чечня;Северо-Кавказский;47715;
66;Алатырь;Чувашия;Приволжский;38202;1552
67;Канаш;Чувашия;Приволжский;45608;1892
68;Козловка;Чувашия;Приволжский;10355;1671
69;Мариинский Посад;Чувашия;Приволжский;10186;1620
70;Новочебоксарск;Чувашия;Приволжский;124094;1960
71;Цивильск;Чувашия;Приволжский;13478;1589
72;Чебоксары;Чувашия;Приволжский;447929;1781
73;Шумерля;Чувашия;Приволжский;33412;1916
74;Ядрин;Чувашия;Приволжский;9614;1590
75;Анадырь;Чукотский авт. окр.;Дальневосточный;13053;1889
76;Билибино;Чукотский авт. окр.;Дальневосточный;5504;1955
77;Певек;Чукотский авт. окр.;Дальневосточный;4161;1933
78;Алдан;Якутия;Дальневосточный;21277;1924
79;Верхоянск;Якутия;Дальневосточный;1311;1638
80;Вилюйск;Якутия;Дальневосточный;10233;1634
